,Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Altitude (meters),Vertical accuracy (degrees),Horizontal accuracy (degrees),Course (degrees),Difcourse: course variation (degrees),Boolean of system activated (1 if >50km/h),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),X: car position relative to lane center (meters),Phi: car angle relative to lane curvature (degrees),W: road width (meters),"State of the lane det. algorithm [-1=calibrating, 0=initializing, 1=undetected, 2=detected/running]",Distance to ahead vehicle in current lane (meters) [value -1 means no car is detected in front],Time of impact to ahead vehicle (seconds) [distance related to own speed],Number of detected vehicles in this frame (traffic),GPS speed (km/h) [same as in RAW GPS],Maximum allowed speed of current road (km/h),"Reliability of obtained maxspeed (0=unknown, 1=reliable, 2=used previously obtained maxspeed,3=estimated by type of road)","Type of road (motorway, trunk, secondary...)",Number of lanes in current road,"Estimated current lane (1=right lane, 2=first left lane, 3=second left lane, etc) [experimental]",GPS Latitude used to query OSM (degrees),GPS Longitude used to query OSM (degrees),OSM delay to answer query (seconds),GPS speed (km/h) [same as in RAW GPS]],Ratio normal (base 1),Ratio drowsy (base 1),Ratio aggressive (base 1)
0,18.42,68.3,40.516933,-3.4080769999999996,619.4,3,5,325.5,0.35200000000000004,1,-0.068,-0.006,-0.024,-0.001,-0.011000000000000001,-0.012,-1.5630000000000002,-0.04,0.055999999999999994,0.0,-0.0,3.5,-1,140.53,7.4,1,68.3,100.0,1,primary,2,-1,40.517075,-3.408206,1.436,68.4,1.0,0.0,0.0
1,19.37,68.5,40.517075,-3.408206,619.3,3,5,325.9,0.35200000000000004,1,0.013000000000000001,0.048,0.006,0.004,0.026000000000000002,-0.002,-1.555,-0.035,0.055999999999999994,0.0,-0.0,3.5,-1,175.55,9.23,1,68.5,100.0,1,primary,2,-1,40.517075,-3.408206,1.436,68.4,1.0,0.0,0.0
2,20.36,68.0,40.517216,-3.4083370000000004,619.5,3,5,325.9,0.35200000000000004,1,0.035,-0.006999999999999999,-0.016,0.009000000000000001,-0.012,-0.008,-1.554,-0.032,0.057999999999999996,0.04,0.037000000000000005,3.36,2,195.0,10.32,1,68.0,100.0,1,primary,2,-1,40.517075,-3.408206,1.436,68.4,1.0,0.0,0.0
3,21.37,68.4,40.517357000000004,-3.408457,621.4,3,5,325.9,0.0,1,-0.046,0.017,-0.006999999999999999,-0.02,-0.017,-0.004,-1.5519999999999998,-0.034,0.065,0.0,-0.013999999999999999,3.295,2,203.9,10.74,1,68.4,100.0,1,primary,2,-1,40.517075,-3.408206,1.436,68.4,1.0,0.0,0.0
4,22.36,68.2,40.517494,-3.4085910000000004,620.7,3,5,324.8,1.055,1,0.019,-0.011000000000000001,0.022000000000000002,0.035,-0.008,0.008,-1.54,-0.023,0.07400000000000001,0.081,0.01,3.299,2,46.92,2.48,3,68.2,100.0,1,primary,2,-1,40.517357000000004,-3.408457,1.249,68.2,1.0,0.0,0.0
5,23.36,67.8,40.517635,-3.408721,620.7,3,5,325.2,0.703,1,-0.026000000000000002,0.008,-0.015,-0.008,0.01,0.002,-1.548,-0.02,0.08,-0.111,-0.018000000000000002,3.2689999999999997,2,38.84,2.06,2,67.8,100.0,1,primary,2,-1,40.517635,-3.408721,0.665,67.9,1.0,0.0,0.0
6,24.39,67.9,40.517765000000004,-3.408847,620.9,3,5,324.8,0.35200000000000004,1,0.008,0.027999999999999997,0.015,-0.015,0.03,0.006,-1.546,-0.019,0.078,-0.01,-0.011000000000000001,2.845,2,31.2,1.65,2,67.9,100.0,1,primary,2,-1,40.517635,-3.408721,0.665,67.9,1.0,0.0,0.0
7,25.44,66.1,40.517902,-3.408976,621.0,3,5,325.2,0.35200000000000004,1,-0.013999999999999999,0.015,0.015,0.002,0.012,0.025,-1.55,-0.015,0.08199999999999999,-0.121,0.02,3.18,2,41.9,2.28,1,66.1,100.0,1,primary,2,-1,40.517765000000004,-3.408847,0.787,66.1,1.0,0.0,0.0
8,26.37,68.2,40.518024,-3.4091,621.3,3,5,324.5,0.703,1,0.002,0.047,0.012,-0.006,0.027999999999999997,0.01,-1.5619999999999998,0.006,0.08199999999999999,-0.061,0.003,3.264,2,55.67,2.94,1,68.2,100.0,1,primary,2,-1,40.517902,-3.408976,0.815,68.2,1.0,0.0,0.0
9,27.41,69.0,40.518169,-3.409222,621.1,3,5,325.2,0.703,1,-0.018000000000000002,-0.004,-0.016,-0.006,-0.016,-0.004,-1.554,0.009000000000000001,0.085,-0.01,0.012,3.2119999999999997,2,79.85,4.16,1,69.0,100.0,1,primary,2,-1,40.518024,-3.409101,1.0490000000000002,69.0,1.0,0.0,0.0
